file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep1_acc1.csv,blank,0.0,Blank,1,1,319.0683237887467,506.2420851607103,347.7090161577336
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep1_acc2.csv,blank,0.0,Blank,1,2,90.11327713175604,144.0983201867888,20.210190351424906
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep1_acc3.csv,blank,0.0,Blank,1,3,247.56531510249897,476.26051359395115,343.2327500559202
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep1_acc4.csv,blank,0.0,Blank,1,4,274.2049825338278,593.372465301694,414.36277540206765
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep1_acc5.csv,blank,0.0,Blank,1,5,128.06061385285147,297.97000523910134,139.09002433871382
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep2_acc1.csv,blank,0.0,Blank,2,1,207.6985849184786,391.0163181440171,375.1384762216116
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep2_acc2.csv,blank,0.0,Blank,2,2,373.7984744616565,354.445956151439,360.1207778916568
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep2_acc3.csv,blank,0.0,Blank,2,3,164.5019389960947,468.6183628930881,227.498612400086
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep2_acc4.csv,blank,0.0,Blank,2,4,14.96581293874501,103.24240128023797,65.61945654637417
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep2_acc5.csv,blank,0.0,Blank,2,5,196.6455207632995,439.97844136217634,315.7879436818406
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep3_acc1.csv,blank,0.0,Blank,3,1,416.6049427585127,630.1582133426356,465.33952657512793
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep3_acc2.csv,blank,0.0,Blank,3,2,244.44675101531223,539.8345215045427,293.6528114821893
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep3_acc3.csv,blank,0.0,Blank,3,3,68.3631341591978,158.8559952837803,79.34210933954878
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep3_acc4.csv,blank,0.0,Blank,3,4,196.4831890998655,497.9577282524345,218.26009392258766
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/blank_rep3_acc5.csv,blank,0.0,Blank,3,5,118.4094597289217,344.6334160321673,111.95228283419026
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc1.csv,sample,0.001,1mM,1,1,17559.56744636746,44792.768042495816,15551.470627971194
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc2.csv,sample,0.001,1mM,1,2,17139.75950398996,41180.86102719932,19174.723199013017
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc3.csv,sample,0.001,1mM,1,3,16726.149797354752,39885.21156191369,19348.97550639179
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc4.csv,sample,0.001,1mM,1,4,16559.41908049466,38871.43569082736,18664.461915172644
